,City,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
46,kieta,pg,-6.22,155.63,80.5,100.0,12.0,1.81
47,esso,ru,55.93,158.7,25.69,82.0,8.0,5.61
49,naze,jp,28.37,129.48,80.6,74.0,75.0,24.16
50,longyearbyen,sj,78.22,15.64,12.2,66.0,20.0,20.8
51,uray,ru,60.13,64.8,38.38,100.0,92.0,3.27
52,kalmunai,lk,7.42,81.82,84.19,81.0,0.0,3.71
53,okha,ru,53.59,142.95,30.1,100.0,8.0,6.85
54,esperance,au,-33.86,121.89,68.62,61.0,0.0,5.61
55,khatanga,ru,71.98,102.47,18.31,95.0,76.0,19.15
56,chara,ru,56.9,118.26,43.15,35.0,24.0,4.61
57,bambous virieux,mu,-20.34,57.76,78.8,94.0,75.0,26.4
58,bokoro,td,12.38,17.06,69.88,53.0,0.0,2.71
59,torbay,ca,47.66,-52.73,33.8,74.0,5.0,12.75
60,ribeira grande,pt,38.52,-28.7,62.5,98.0,0.0,11.32
61,marsh harbour,bs,26.54,-77.06,76.81,99.0,80.0,18.25
62,saint-philippe,re,-21.36,55.77,75.34,94.0,92.0,46.08
63,chokurdakh,ru,70.62,147.9,34.06,98.0,0.0,12.66
65,puerto ayora,ec,-0.74,-90.35,76.99,97.0,44.0,6.4
66,margate,za,-30.86,30.37,70.6,78.0,0.0,6.73
67,half moon bay,us,37.46,-122.43,62.89,87.0,90.0,6.93
68,ucluelet,ca,48.94,-125.55,51.88,74.0,44.0,1.59
69,manzanillo,mx,19.05,-104.32,73.03,90.0,20.0,2.71
70,portland,au,-33.35,149.98,65.02,73.0,0.0,2.82
71,vanavara,ru,60.35,102.28,31.54,50.0,12.0,4.38
73,sao filipe,cv,14.9,-24.5,70.15,100.0,0.0,17.25
74,kovur,in,14.5,79.99,85.18,60.0,24.0,6.17
75,det udom,th,14.9,105.08,93.2,59.0,20.0,5.82
76,staryy nadym,ru,65.61,72.68,22.72,90.0,92.0,11.32
79,soyo,ao,-6.13,12.37,78.16,97.0,76.0,3.15
80,lazo,ru,43.38,133.91,56.38,42.0,68.0,2.37
81,bathsheba,bb,13.22,-59.52,77.0,83.0,20.0,13.87
82,saskylakh,ru,71.97,114.09,15.25,90.0,76.0,12.21
83,geraldton,au,-28.77,114.6,73.4,46.0,20.0,14.99
84,new norfolk,au,-42.78,147.06,69.8,43.0,0.0,10.29
85,kaitangata,nz,-46.28,169.85,55.3,76.0,12.0,19.04
86,bethel,us,60.79,-161.76,37.4,86.0,90.0,10.29
87,port alfred,za,-33.59,26.89,66.46,97.0,8.0,15.23
88,sukhothai,th,17.01,99.82,89.6,66.0,0.0,5.82
89,atuona,pf,-9.8,-139.03,81.76,100.0,0.0,14.34
90,upernavik,gl,72.79,-56.15,22.09,96.0,92.0,2.37
92,chuy,uy,-33.69,-53.46,68.62,99.0,100.0,7.63
94,cape town,za,-33.93,18.42,59.0,93.0,0.0,11.41
95,luba,gq,3.46,8.55,73.4,88.0,20.0,4.7
96,yanam,in,16.73,82.22,87.25,77.0,32.0,5.28
97,mazamari,pe,-11.33,-74.53,66.46,95.0,32.0,2.59
98,cap malheureux,mu,-19.98,57.61,78.8,94.0,75.0,26.4
99,kodiak,us,39.95,-94.76,55.4,43.0,1.0,6.93
100,victoria,sc,-4.62,55.45,77.0,94.0,75.0,4.7
101,fortuna,us,40.6,-124.16,63.73,63.0,1.0,3.15
102,salalah,om,17.01,54.1,80.6,78.0,75.0,3.36
103,liverpool,ca,44.04,-64.71,41.8,78.0,0.0,9.75
104,asyut,eg,27.18,31.19,52.15,69.0,0.0,2.71
105,tuktoyaktuk,ca,69.44,-133.03,12.56,78.0,20.0,14.99
106,narsaq,gl,60.91,-46.05,37.4,64.0,75.0,3.36
108,dukat,ru,62.55,155.55,30.73,88.0,20.0,3.71
109,vestmannaeyjar,is,63.44,-20.27,41.98,95.0,92.0,12.33
111,cidreira,br,-30.17,-50.22,72.49,88.0,68.0,8.41
112,jamestown,sh,-15.94,-5.72,75.46,100.0,0.0,20.15
116,veracruz,mx,24.02,-103.93,73.4,30.0,75.0,10.29
117,richards bay,za,-28.77,32.06,65.38,87.0,0.0,6.96
118,nanakuli,us,21.39,-158.15,78.85,69.0,75.0,9.17
119,barra,br,-11.09,-43.14,71.95,82.0,68.0,3.71
120,kurilsk,ru,45.23,147.88,41.26,84.0,36.0,10.09
122,bluff,nz,-46.6,168.33,54.22,98.0,32.0,20.27
123,yulara,au,-25.24,130.99,86.0,19.0,12.0,6.93
124,broken hill,au,-31.97,141.45,83.74,28.0,76.0,9.75
125,tura,ru,64.27,100.22,18.85,53.0,0.0,3.6
126,muravlenko,ru,63.79,74.5,24.79,92.0,88.0,16.02
129,qaqortoq,gl,60.72,-46.03,37.4,64.0,75.0,3.36
130,alofi,nu,-19.06,-169.92,78.8,88.0,75.0,11.41
131,bradford,us,36.08,-88.81,55.4,93.0,90.0,4.61
132,samarai,pg,-10.62,150.67,82.93,99.0,88.0,14.23
133,souillac,mu,-20.52,57.52,78.8,94.0,75.0,26.4
135,kapaa,us,22.08,-159.32,77.0,73.0,40.0,18.34
137,okhotsk,ru,59.36,143.24,39.82,64.0,0.0,8.75
138,bilibino,ru,68.06,166.44,34.33,62.0,0.0,3.04
139,atambua,id,-9.11,124.89,87.34,81.0,0.0,7.4
140,mahebourg,mu,-20.41,57.7,78.8,94.0,75.0,26.4
141,bredasdorp,za,-34.53,20.04,57.2,76.0,76.0,8.05
142,nanortalik,gl,60.14,-45.24,30.73,97.0,68.0,5.73
143,burgersdorp,za,-30.99,26.32,44.77,62.0,0.0,6.62
144,qaanaaq,gl,77.48,-69.36,11.83,91.0,24.0,8.41
146,high level,ca,58.52,-117.13,51.8,32.0,75.0,4.7
147,palampur,in,32.11,76.54,21.73,64.0,0.0,1.36
148,hokitika,nz,-42.72,170.96,54.58,100.0,48.0,6.51
149,kirakira,sb,-10.46,161.92,81.4,100.0,36.0,10.42
150,praya,id,-8.71,116.27,87.8,62.0,20.0,10.29
151,pangkalanbuun,id,-2.68,111.62,79.96,99.0,88.0,4.16
152,kopavogur,is,64.11,-21.91,41.0,86.0,90.0,11.41
153,husavik,is,66.04,-17.34,33.8,80.0,90.0,5.82
154,progreso,mx,20.25,-99.19,58.36,93.0,44.0,2.59
155,port elizabeth,za,-33.92,25.57,62.6,88.0,75.0,21.92
156,lodwar,ke,3.12,35.6,70.24,95.0,48.0,2.93
157,saint george,bm,32.38,-64.68,64.4,59.0,75.0,11.41
158,sinnamary,gf,5.38,-52.96,78.07,100.0,88.0,5.5
159,talnakh,ru,69.49,88.39,11.2,90.0,68.0,14.23
160,erzin,ru,50.26,95.16,61.24,21.0,0.0,5.5
161,tiksi,ru,71.64,128.87,28.21,97.0,88.0,9.75
162,montepuez,mz,-13.13,39,66.82,78.0,0.0,9.42
163,alexandria,us,38.81,-77.05,55.62,51.0,1.0,7.85
165,musayelyan,am,40.99,43.94,33.8,69.0,0.0,1.12
166,maun,bw,-19.99,23.42,53.6,76.0,0.0,5.95
167,boyolangu,id,-8.09,111.9,80.14,97.0,48.0,3.15
168,mahajanga,mg,-15.72,46.32,73.4,88.0,0.0,2.24
169,provideniya,ru,64.42,-173.23,28.4,68.0,75.0,22.37
170,maragogi,br,-9.01,-35.22,72.94,100.0,92.0,2.59
171,aljezur,pt,37.31,-8.8,61.15,95.0,8.0,15.23
173,melita,ca,49.27,-100.98,46.12,62.0,80.0,13.89
174,kavaratti,in,10.57,72.64,85.99,100.0,20.0,2.82
176,roald,no,62.58,6.12,44.6,93.0,88.0,20.8
178,ilo,pe,-17.65,-71.34,57.37,100.0,0.0,1.92
179,egvekinot,ru,66.32,-179.17,19.48,85.0,0.0,7.96
180,vallenar,cl,-28.58,-70.76,53.32,70.0,32.0,3.27
181,alta,no,69.97,23.27,39.2,99.0,88.0,4.7
182,oksfjord,no,70.24,22.35,38.23,97.0,68.0,4.7
183,adrar,dz,27.87,-0.29,77.0,31.0,40.0,8.05
184,mar del plata,ar,-46.43,-67.52,48.19,76.0,0.0,10.98
185,brisbane,au,-27.47,153.02,77.95,47.0,20.0,13.87
186,miles city,us,46.41,-105.84,35.6,100.0,90.0,6.93
187,jalu,ly,29.03,21.55,60.34,48.0,0.0,9.53
188,kapit,my,2.02,112.94,77.8,92.0,92.0,2.37
189,beyneu,kz,45.32,55.19,46.75,84.0,0.0,8.19
190,altay,cn,47.83,88.13,47.65,68.0,92.0,2.37
191,gros islet,lc,14.07,-60.95,78.67,74.0,40.0,18.34
192,pauini,br,-7.71,-67,77.62,93.0,44.0,2.26
194,hithadhoo,mv,-0.6,73.08,83.83,100.0,24.0,13.0
197,iquique,cl,-20.22,-70.14,68.0,72.0,90.0,9.17
199,comodoro rivadavia,ar,-45.87,-67.48,48.2,96.0,0.0,10.29
200,castro,cl,-42.48,-73.76,39.73,96.0,36.0,2.15
201,korla,cn,41.76,86.15,65.11,34.0,0.0,2.71
203,georgetown,sh,-7.93,-14.42,79.6,100.0,80.0,11.65
204,vestmanna,fo,62.16,-7.17,41.0,80.0,80.0,8.05
205,alta floresta,br,-9.87,-56.08,72.85,100.0,20.0,2.59
206,butaritari,ki,3.07,172.79,84.1,100.0,0.0,12.77
208,mpika,zm,-11.84,31.4,58.27,79.0,0.0,9.42
209,cayenne,gf,4.94,-52.33,73.4,100.0,75.0,2.24
210,taoudenni,ml,22.68,-3.98,78.52,25.0,32.0,12.21
212,gonbad-e qabus,ir,37.25,55.17,51.43,100.0,92.0,4.27
213,hermanus,za,-34.42,19.24,56.92,91.0,56.0,6.4
214,grindavik,is,63.84,-22.43,41.0,86.0,90.0,11.41
215,puerto leguizamo,co,-0.19,-74.78,75.73,94.0,56.0,2.04
216,lodja,cd,-3.52,23.6,71.5,91.0,0.0,2.15
217,tazovskiy,ru,67.47,78.7,13.0,90.0,68.0,14.79
218,abu zabad,sd,12.35,29.25,70.42,19.0,0.0,11.77
219,yumen,cn,40.29,97.04,56.92,66.0,8.0,3.94
220,sao joao da barra,br,-21.64,-41.05,78.25,97.0,80.0,5.95
221,kichera,ru,55.93,110.1,42.52,81.0,80.0,3.49
222,iwaki,jp,37.05,140.89,57.2,100.0,75.0,8.05
223,paamiut,gl,61.99,-49.67,32.62,96.0,80.0,4.27
224,lorengau,pg,-2.02,147.27,84.64,100.0,24.0,5.95
225,sangar,ru,63.92,127.47,27.31,50.0,76.0,10.65
226,constitucion,mx,23.99,-104.67,73.4,38.0,75.0,10.29
227,biak,id,-0.91,122.88,74.56,100.0,92.0,2.82
228,pervomayskoye,ru,57.07,86.23,37.93,96.0,0.0,8.41
229,gazli,uz,40.13,63.45,64.84,76.0,100.0,17.81
230,saint-augustin,ca,45.63,-73.98,50.04,42.0,20.0,2.24
234,coquimbo,cl,-29.95,-71.34,55.4,93.0,90.0,2.24
236,aykhal,ru,65.95,111.51,18.22,76.0,68.0,12.21
237,nikolskoye,ru,59.7,30.79,33.8,69.0,0.0,6.71
238,guerrero negro,mx,27.97,-114.04,61.06,85.0,36.0,8.3
239,hambantota,lk,6.12,81.12,82.21,100.0,0.0,2.93
240,igarka,ru,67.47,86.57,9.58,84.0,24.0,11.65
241,henties bay,na,-22.12,14.28,59.71,100.0,8.0,6.62
242,severo-kurilsk,ru,50.68,156.12,33.16,96.0,36.0,12.44
243,iqaluit,ca,63.75,-68.52,-4.01,76.0,5.0,13.87
244,buenos aires,cr,9.17,-83.33,73.48,100.0,56.0,1.59
245,gandajika,cd,-6.75,23.95,68.17,95.0,36.0,2.82
246,tommot,ru,58.97,126.27,34.6,58.0,56.0,10.42
247,shenjiamen,cn,29.96,122.3,58.9,99.0,48.0,21.05
248,saquarema,br,-22.93,-42.51,75.2,88.0,0.0,2.24
249,lavrentiya,ru,65.58,-170.99,28.03,99.0,12.0,30.11
250,kennett,us,36.24,-90.06,55.94,93.0,75.0,3.36
251,nemuro,jp,43.32,145.57,53.6,46.0,75.0,11.41
252,fare,pf,-16.7,-151.02,81.58,100.0,88.0,8.19
254,hovd,mn,48.01,91.64,62.68,18.0,0.0,3.71
255,broome,au,-17.97,122.23,95.0,34.0,0.0,6.93
256,brenham,us,30.17,-96.4,64.69,72.0,1.0,4.72
257,natal,br,-5.81,-35.21,77.0,88.0,20.0,3.36
259,dingle,ie,52.14,-10.27,48.91,98.0,92.0,14.12
260,nioaque,br,-21.16,-55.83,76.45,53.0,0.0,9.75
261,santa maria,cv,16.6,-22.9,68.0,72.0,75.0,16.11
262,dikson,ru,73.51,80.55,14.8,99.0,76.0,23.51
263,port blair,in,11.67,92.75,84.46,100.0,24.0,2.59
264,murgab,tm,37.5,61.97,60.8,77.0,75.0,11.41
266,vanimo,pg,-2.67,141.3,82.39,100.0,56.0,5.06
267,buchanan,lr,5.88,-10.05,79.15,100.0,0.0,4.72
268,cabatuan,ph,16.95,121.67,86.98,78.0,8.0,4.38
269,kawalu,id,-7.38,108.21,75.46,88.0,76.0,3.04
270,qarqin,af,37.41,66.03,76.45,35.0,44.0,10.2
271,steinbach,ca,49.53,-96.69,41.0,50.0,40.0,8.05
272,marshall,us,39.39,-87.69,54.72,100.0,90.0,6.93
273,namibe,ao,-15.19,12.15,78.16,100.0,0.0,2.37
274,tautira,pf,-17.73,-149.15,82.4,78.0,40.0,11.41
275,carnarvon,au,-24.87,113.63,74.47,87.0,64.0,16.46
276,axim,gh,4.87,-2.24,81.76,99.0,0.0,11.21
277,nizwa,om,22.93,57.53,68.44,63.0,0.0,2.15
278,nagahama,jp,35.49,136.29,62.05,96.0,92.0,6.62
279,pak phanang,th,8.35,100.2,89.6,59.0,20.0,3.36
280,karratha,au,-20.74,116.85,95.89,19.0,0.0,10.65
282,bud,no,62.91,6.91,43.99,75.0,92.0,11.41
283,tutoia,br,-2.76,-42.27,75.46,100.0,56.0,4.94
285,eureka,us,40.8,-124.16,63.63,63.0,1.0,3.15
286,san jose,gt,16.98,-89.9,79.42,68.0,36.0,3.94
287,storslett,no,69.77,21.03,32.17,98.0,68.0,1.81
288,kuala terengganu,my,5.33,103.14,87.8,70.0,75.0,1.12
289,cherskiy,ru,68.75,161.3,26.59,73.0,0.0,3.71
290,bilma,ne,18.69,12.92,67.09,20.0,0.0,2.82
291,malartic,ca,48.14,-78.13,46.53,30.0,1.0,5.82
292,saint-pierre,pm,46.77,-56.17,35.5,95.0,0.0,16.46
294,sur,om,22.57,59.53,77.26,98.0,0.0,6.06
296,marawi,sd,18.48,31.82,64.93,32.0,0.0,7.63
297,kano,ng,11.99,8.53,84.2,54.0,0.0,13.87
298,oulainen,fi,64.27,24.8,34.51,76.0,88.0,9.19
299,nueva guinea,ni,11.69,-84.46,77.26,86.0,100.0,4.83
300,xixiang,cn,22.58,113.87,76.33,88.0,75.0,4.47
301,outlook,ca,51.48,-107.04,44.23,36.0,0.0,7.74
302,ulladulla,au,-35.36,150.48,77.0,33.0,0.0,5.82
303,namwala,zm,-15.75,26.45,61.6,91.0,0.0,5.39
304,wum,cm,6.39,10.08,62.23,96.0,0.0,2.37
305,acapulco,mx,16.86,-99.88,80.6,88.0,75.0,6.93
306,traverse city,us,44.76,-85.62,43.68,75.0,1.0,5.28
308,piney green,us,35.09,-78.48,60.44,87.0,75.0,8.05
309,marystown,ca,47.17,-55.16,34.15,87.0,0.0,8.86
310,montemurlo,it,43.93,11.04,54.34,87.0,0.0,2.24
311,hobyo,so,5.35,48.53,77.08,89.0,20.0,3.6
312,isla vista,us,34.41,-119.86,54.09,87.0,90.0,10.54
313,baghdad,iq,33.3,44.38,60.8,72.0,0.0,4.7
314,alice springs,au,-23.7,133.88,86.0,13.0,0.0,9.17
315,rosarito,mx,27.04,-109.91,74.92,39.0,12.0,6.73
316,najran,sa,17.54,44.22,68.0,88.0,40.0,4.7
317,coahuayana,mx,18.62,-100.35,69.88,75.0,8.0,2.26
318,gornopravdinsk,ru,60.06,69.92,43.42,95.0,92.0,9.98
319,cabra,ph,13.89,120.05,84.64,95.0,0.0,12.77
320,wanning,cn,18.8,110.4,80.5,94.0,44.0,9.19
321,ponta do sol,cv,17.2,-25.09,69.43,100.0,48.0,18.37
322,barraute,ca,48.43,-77.63,44.6,30.0,1.0,5.82
324,vila franca do campo,pt,37.72,-25.43,57.2,82.0,20.0,3.36
325,fort nelson,ca,58.81,-122.69,57.2,26.0,75.0,5.82
328,kholodnyy,ru,62.72,147.95,30.1,74.0,8.0,4.83
329,coihaique,cl,-45.58,-72.07,41.79,87.0,75.0,4.7
330,smyrna,us,35.98,-86.52,57.38,93.0,90.0,3.36
331,nianzishan,cn,47.51,122.88,67.0,74.0,0.0,7.85
332,dali,cn,25.6,100.24,69.7,56.0,0.0,2.15
333,porto nacional,br,-10.7,-48.41,74.02,92.0,24.0,3.38
334,yar-sale,ru,66.83,70.83,19.48,99.0,88.0,5.95
335,vardo,no,70.37,31.11,39.2,80.0,75.0,11.41
336,maumere,id,-8.63,122.22,86.8,93.0,0.0,10.76
337,srednekolymsk,ru,67.46,153.71,43.15,54.0,8.0,4.27
338,ixtapa,mx,20.71,-105.21,75.2,73.0,75.0,2.24
339,riohacha,co,11.54,-72.91,81.67,83.0,0.0,15.46
341,palmer,us,61.6,-149.11,47.88,68.0,90.0,6.93
342,vao,nc,-22.67,167.48,76.9,100.0,92.0,11.65
343,ajdabiya,ly,30.75,20.22,53.14,83.0,0.0,6.85
344,hay river,ca,60.82,-115.79,44.6,45.0,75.0,8.05
345,poum,nc,-20.23,164.02,76.63,100.0,92.0,14.0
346,havelock,us,34.88,-76.9,63.79,68.0,90.0,19.46
347,saint cloud,us,45.56,-94.16,47.66,81.0,1.0,2.15
348,umm lajj,sa,25.02,37.27,64.03,100.0,0.0,3.83
350,evensk,ru,61.92,159.24,34.96,82.0,8.0,4.16
351,kavieng,pg,-2.57,150.8,83.92,100.0,20.0,2.15
352,constitucion,cl,-35.33,-72.42,52.15,98.0,0.0,10.09
353,morondava,mg,-20.3,44.28,71.32,100.0,0.0,4.16
354,chingirlau,kz,51.09,54.08,32.26,91.0,0.0,9.19
355,tabas,ir,33.6,56.92,59.98,73.0,20.0,4.61
356,opuwo,na,-18.06,13.84,52.51,56.0,0.0,2.59
357,tres arroyos,ar,-38.38,-60.28,51.7,74.0,64.0,6.17
358,jiayuguan,cn,39.77,98.29,46.84,85.0,0.0,2.04
359,meylan,fr,45.21,5.78,49.12,93.0,0.0,6.93
360,aripuana,br,-9.17,-60.63,77.53,92.0,24.0,1.92
361,untsukul,ru,42.71,46.79,36.94,98.0,92.0,0.58
363,sungairaya,id,0.7,108.9,83.56,85.0,88.0,1.36
365,haukipudas,fi,65.17,25.5,37.4,64.0,88.0,11.41
366,port macquarie,au,-31.43,152.91,64.4,82.0,90.0,6.93
367,anadyr,ru,64.73,177.51,30.2,54.0,0.0,22.37
368,novocheremshansk,ru,54.35,50.17,31.09,82.0,80.0,8.63
369,te anau,nz,-45.41,167.72,52.6,74.0,0.0,5.84
371,loreto,mx,22.27,-101.99,68.98,39.0,92.0,8.19
372,linjiang,cn,41.81,126.91,55.3,53.0,8.0,5.95
373,tamandare,br,-8.28,-70.75,76.81,88.0,0.0,3.6
374,north bend,us,43.41,-124.22,65.3,30.0,1.0,3.04
376,verkhoyansk,ru,67.55,133.39,39.37,68.0,32.0,8.63
377,norman wells,ca,65.28,-126.83,35.6,59.0,75.0,5.82
378,san patricio,mx,19.22,-104.7,73.03,90.0,20.0,2.71
379,digby,ca,44.62,-65.76,40.72,77.0,0.0,8.41
380,tefe,br,-3.35,-64.71,74.47,95.0,8.0,1.14
381,nesna,no,66.2,13.02,33.79,97.0,92.0,2.15
382,quebrangulo,br,-9.32,-36.47,70.15,98.0,92.0,4.16
383,athabasca,ca,54.72,-113.29,40.0,70.0,0.0,7.96
384,neepawa,ca,50.23,-99.46,35.6,80.0,75.0,8.05
385,san pedro de ycuamandiyu,py,-24.09,-57.08,73.75,68.0,8.0,5.39
386,leland,no,58.19,7.29,42.8,100.0,92.0,9.17
387,karla,ee,59.37,24.93,41.0,93.0,90.0,8.05
388,holoby,ua,51.09,25.02,53.05,95.0,92.0,6.62
389,pisco,pe,-13.71,-76.2,69.8,77.0,0.0,4.7
390,bakchar,ru,57.02,82.07,36.04,95.0,0.0,3.6
391,upington,za,-28.46,21.24,55.4,47.0,0.0,1.12
392,sidi ali,dz,36.1,0.42,60.7,59.0,0.0,4.5
393,bontang,id,0.12,117.47,83.83,93.0,48.0,4.94
394,deputatskiy,ru,69.3,139.9,32.8,89.0,0.0,7.07
395,hualmay,pe,-11.1,-77.61,66.28,86.0,76.0,3.6
396,moerai,pf,-22.43,-151.33,76.81,100.0,100.0,11.99
398,kosh-agach,ru,49.99,88.66,47.02,46.0,68.0,8.75
399,altamont,us,37.19,-95.3,55.71,71.0,1.0,3.36
400,cancun,mx,21.17,-86.85,80.6,78.0,40.0,5.82
401,arlit,ne,18.74,7.39,67.72,19.0,0.0,4.94
403,mandalgovi,mn,45.76,106.27,52.42,76.0,0.0,9.64
404,khandyga,ru,62.65,135.58,34.87,99.0,92.0,10.2
406,cabo san lucas,mx,22.89,-109.91,79.47,21.0,5.0,5.82
407,gimli,ca,50.63,-96.99,45.22,60.0,80.0,11.77
408,lhokseumawe,id,5.18,97.15,85.45,94.0,48.0,11.43
409,saint-pierre,re,-21.34,55.48,75.43,94.0,100.0,46.08
410,sokolo,ml,14.74,-6.12,77.08,66.0,20.0,3.04
411,shiraz,ir,29.61,52.54,60.8,77.0,0.0,2.71
412,gombe,ng,10.28,11.16,80.95,57.0,0.0,10.65
414,bafra,tr,41.57,35.91,42.8,100.0,20.0,1.12
416,pochutla,mx,15.74,-96.47,84.2,70.0,40.0,6.93
417,tiarei,pf,-17.53,-149.33,82.4,78.0,40.0,11.41
418,siemiatycze,pl,52.43,22.86,52.78,87.0,44.0,13.44
419,shimoda,jp,34.7,138.93,65.01,77.0,75.0,12.75
420,annau,tm,37.89,58.52,55.4,93.0,90.0,9.17
421,kenora,ca,49.76,-94.48,44.64,60.0,1.0,4.7
422,moses lake,us,47.13,-119.28,60.71,29.0,1.0,3.36
423,pionerskiy,ru,61.2,62.86,37.39,100.0,92.0,4.72
425,bongandanga,cd,1.51,21.07,71.5,97.0,68.0,2.15
426,dixon,us,41.84,-89.48,54.5,46.0,1.0,9.17
427,coolum beach,au,-26.53,153.09,75.01,84.0,0.0,4.27
428,springfield,us,37.22,-93.29,55.4,66.0,20.0,7.18
429,leh,in,34.16,77.58,3.55,88.0,44.0,1.92
430,urdoma,ru,61.74,48.55,24.79,71.0,0.0,8.75
431,pemagatsel,bt,27.03,91.43,61.42,97.0,76.0,1.7
432,swan hill,au,-35.34,143.56,72.4,45.0,88.0,12.55
433,port-gentil,ga,-0.72,8.78,81.58,97.0,48.0,7.29
436,berlevag,no,70.86,29.09,37.4,100.0,75.0,16.11
437,ola,ru,59.58,151.3,39.2,51.0,0.0,11.18
438,mglin,ru,53.06,32.85,31.45,73.0,56.0,2.93
439,aasiaat,gl,68.71,-52.87,26.23,94.0,80.0,4.61
440,moorhead,us,46.87,-96.75,52.27,62.0,90.0,8.05
441,yelovo,ru,57.05,54.92,31.36,83.0,88.0,5.73
442,camacha,pt,33.08,-16.33,59.0,82.0,75.0,17.22
443,leningradskiy,ru,69.38,178.42,9.13,100.0,8.0,11.65
444,dalby,au,-27.18,151.26,77.0,36.0,0.0,5.82
445,meadville,us,41.64,-80.15,61.56,44.0,1.0,5.82
446,kalabo,zm,-15.0,22.67,61.69,64.0,0.0,7.4
447,sal rei,cv,16.18,-22.92,68.0,72.0,75.0,16.11
448,bitkine,td,11.98,18.21,71.5,52.0,0.0,3.04
449,tsabong,bw,-26.02,22.4,55.03,38.0,0.0,8.97
450,zaragoza,mx,19.77,-97.56,56.65,93.0,80.0,0.58
451,sarny,ua,51.32,26.62,53.77,61.0,92.0,6.51
452,darab,ir,28.75,54.55,60.16,47.0,0.0,2.59
453,sampit,id,-2.54,112.95,82.75,91.0,76.0,4.61
456,shumikha,ru,55.23,63.28,40.09,100.0,92.0,3.71
457,turka,ua,49.16,23.03,52.69,92.0,64.0,4.05
458,zyryanka,ru,65.73,150.89,40.09,61.0,0.0,6.96
459,chicama,pe,-7.84,-79.15,68.0,88.0,75.0,9.17
461,rebrikha,ru,53.08,82.34,53.5,100.0,8.0,4.5
462,meulaboh,id,4.14,96.13,77.26,100.0,92.0,3.94
463,basco,ph,20.45,121.97,80.77,98.0,44.0,10.54
464,port moresby,pg,-9.47,147.16,81.58,100.0,36.0,19.82
465,moranbah,au,-22.0,148.04,82.12,37.0,0.0,9.64
466,nuuk,gl,64.17,-51.74,28.4,100.0,92.0,9.17
467,sagauli,in,26.78,84.73,84.73,17.0,0.0,5.84
